count,field,value,recommended_action
1,Isolation_Source_SD,parent strain THC 02-90 passaged without rifampicin,route to controlled category or manual_review
1,Isolation_Source_SD,"DSM 5476, ATCC 43829",route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 25577, CCUG 36754, DSM 4901",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 11741,route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 14917, IAM 12477",route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 21052, BCRC 14029, CCRC 14029",route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 25302, NCDO 151, R094",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 27756,route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 29176,route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 29149,route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 17748,route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 17745, DSM 2007",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 25563,route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 23726,route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 33693,route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 27725,route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 49185, NCTC 12111",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 9817,route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 51191, CCUG 32879, CIP 104879, DSM 8253",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 51357,route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 29098, DSM 749",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 35406,route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 53978,route to controlled category or manual_review
1,Isolation_Source_SD,DSM 9414; ATCC 29659; CCUG 16147; CIP 104112; JCM 20705; LMG 2866; NBRC 102222; NCIMB 2127,route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 19254, NCDO 543",route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 35910, CL4/79, IFO 15054, JCM 2410, NCTC 11432",route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 43553, CIP 55774, LMG 6100",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 27759,route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 17931, CDC X599",route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 25296, CCM 2417, DSM 20746, NCTC 10663, PCM 2415",route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 33861, CDC E7288, JCM 1277, NCTC 11386",route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 33300, DSM 2582",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC BAA-613,route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 33313, CCUG 30068, CIP 102421, DSM 20288",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 35704,route to controlled category or manual_review
1,Isolation_Source_SD,"DSM 1552, ATCC 29900, NCTC 11211",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 14019,route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 33612,route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 33596,route to controlled category or manual_review
